F14C(OC),F14C(OC)_u
0.749252351,0.013328932
1.164859215,0.022320823
0.950588226,0.037159154
0.993217201,0.014642434
1.094929605,0.015456724
0.836853377,0.013552473
0.491601625,0.016246658
0.651721228,0.014660074
1.014208225,0.017520949
1.026795216,0.017489889
0.801774632,0.013120671
1.010790302,0.011505044
0.756205462,0.014335042
